post_author,post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,total_sales,tax:product_type,tax:product_visibility,product_cat,tax:product_tag,tax:product_shipping_class
4,Earth One Batman,earth-one-batman,,423,<p><br></p>,<p><br></p>,publish,,0,2020-04-02 12:27:25,open,,,,no,no,83,35.50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/IMG_1238-2-scaled.jpg,,https://grailcavern.com/product/earth-one-batman/,12,simple,,"Limited edition,Minifigures,Pad printed,Superheroes",,
29,Beast,beast,,513,"<p><br data-mce-bogus=""1""></p>","<p>Custom LEGO Beast (Hank McCoy) Minifigure<br data-mce-bogus=""1""></p>",publish,,0,2020-04-02 22:04:24,open,,,,no,no,2,20.00,,1,6,4,1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/Custom-LEGO-Beast-Minifigure-1-scaled.jpg,,https://grailcavern.com/product/beast/,0,simple,,"Minifigures,Superheroes,Superheros,Uv printed",LEGO|marvel|Marvel Comics,
29,Stan Lee,stan-lee,,514,"<p><br data-mce-bogus=""1""></p>",<p>Custom LEGO Stan Lee Minifigure</p>,publish,,0,2020-04-02 22:05:58,open,,,,no,no,2,18.00,,1,6,4,1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/Stan-Lee-scaled.jpg,,https://grailcavern.com/product/stan-lee/,0,simple,,"Minifigures,Superheroes,Superheros,Uv printed",LEGO|marvel|Marvel Comics,
29,Hollywood Hulk Hogan,hollywood-hulk-hogan,,515,"<p><br data-mce-bogus=""1""></p>","<p>Custom LEGO ""Hollywood"" Hulk Hogan Minifigure</p>",publish,,0,2020-04-02 22:08:33,open,,,,no,no,0,22.00,,1,6,4,1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/IMG_7241-scaled.jpg,,https://grailcavern.com/product/hollywood-hulk-hogan/,1,simple,outofstock,"Minifigures,Uv printed",LEGO|NWO|WCW|Wrestling|WWE|WWF,
29,Stepford Cuckoo Sisters,stepford-cuckoo-sisters,,516,<p><br></p>,<p>Custom LEGO Stepford Cuckoos Minifigures</p>,publish,,0,2020-04-02 22:13:11,open,,,,no,no,0,55.00,,1,6,4,1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/Custom-LEGO-Stepford-Cuckoos-Minifigure-1-scaled.jpg,,https://grailcavern.com/product/stepford-cuckoo-sisters/,2,simple,outofstock,"Minifigures,Superheroes,Superheros,Uv printed",LEGO|marvel|Marvel Comics,
29,Chef Gordon Ramsay,chef-gordon-ramsay,,517,<p><br></p>,<p>Custom LEGO Gordon Ramsay Minifigure</p>,publish,,0,2020-04-02 22:15:02,open,,,,no,no,1,20.00,,1,6,4,1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/IMG_6303-scaled.jpg,,https://grailcavern.com/product/chef-gordon-ramsay/,1,simple,,"Minifigures,Uv printed",Chef|Gordon Ramsay|Hell's Kitchen|LEGO,
4,Shazam,shazam,,525,<p><br></p>,<p><br></p>,publish,,0,2020-04-03 00:47:09,open,,,,no,no,18,45.50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/07/6396134E-B0FD-48CA-B5AC-E1931429B6C4.jpeg,,https://grailcavern.com/product/shazam/,5,simple,,"Limited edition,Minifigures,Pad printed,Superheroes",,
4,Dr Midnite,dr-midnite,,526,<p><br></p>,<p><br></p>,publish,,0,2020-04-03 00:51:12,open,,,,no,no,3,45.50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/07/326D8E55-6D7D-42E0-8EDD-0C0976244D5E-scaled.jpeg,,https://grailcavern.com/product/dr-midnite/,16,simple,,"Limited edition,Minifigures,Pad printed,Superheroes",,
4,SPECTER,specter,,527,<p><br></p>,<p><br></p>,publish,,0,2020-04-03 00:51:58,open,,,,no,no,0,33,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/07/5B91116D-7900-4AB4-A6B6-A861B1D92E92-scaled.jpeg,,https://grailcavern.com/product/specter/,26,simple,outofstock,"Limited edition,Minifigures,Pad printed,Superheroes",,
4,Suicide Squad Joker #1 (Shamrock minifigures),suicide-squad-joker-1-shamrock-minifigures,,556,<p><br></p>,<p>the paint on the hair has been slightly scratched (could be fixed by spray painting over it)</p>,publish,,0,2020-04-04 14:53:49,open,,,,no,no,0,33.50,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/IMG_1271-scaled.jpg,,https://grailcavern.com/product/suicide-squad-joker-1-shamrock-minifigures/,1,simple,outofstock,"Limited edition,Minifigures,Pad printed,Superheroes",,
4,KID FLASH V1,kid-flash,,564,<p>PAD PRINTED</p>,<p><br></p>,publish,,0,2020-04-04 15:09:18,open,,,,no,no,0,35.50,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2020/04/IMG_1279-scaled.jpg,,https://grailcavern.com/product/kid-flash/,22,simple,outofstock,CategoryNone,,
36,Admiral Wullf Yularen sw0633,admiral-wullf-yularen,,593,"<p>Wullf Yularen was a male human Coruscant bureaucrat and military officer whose career spanned from the final years of the Galactic Republic into the era of its successor state, the Galactic Empire. Following the outbreak of the Clone Wars—which pitted the Republic against its splinter state, the Confederacy of Independent Systems—Yularen served in the Republic Navy and ascended to the rank of Admiral. A by-the-book officer, Yularen was assigned to work with Jedi General Anakin Skywalker. Though Skywalker was brash and reckless in contrast to Wullf's crisp nature, the two overcame an initially rocky relationship and successfully combated the Confederacy in several battles throughout the war, including Christophsis, the Kaliida Nebula, and Geonosis. Though Yularen grew accustomed to serving under Skywalker, he would have to learn to work with his Padawan leader, Ahsoka Tano. During the Battle of Ryloth, Tano's refusal to follow orders led to Wullf being injured when his flagship, the Resolute, was attacked by droid fighters. Despite his injuries, however, Yularen managed to give the Padawan a critical vote of confidence, which allowed them to break the Confederate blockade. Narrowly escaping the destruction of the Resolute, Wullf was considered one of the preeminent naval officers of the time, and he continued to serve alongside Skywalker for the remainder of the war....<br data-mce-bogus=""1""></p>","<h4 data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: left;"" style=""font-family: Arial;font-size: 14pt""><b data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt;"" style=""font-size: 14pt""><span data-mce-style=""font-size: 300%;"" style=""font-size: 56px"">Admiral Wullf Yularen</span></b></h4><div data-mce-style=""text-align: left;""><div data-mce-style=""text-align: left;""><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center"">O</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 18.6667px; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 18.6667px;text-align: -webkit-center""><span data-mce-style=""font-size: 14pt;"" style=""font-size: 14pt"">riginal </span></span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center"">LEGO</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""><span data-mce-style=""font-family: Arial; font-size: small;"" style=""font-size: small""><span data-mce-style=""font-size: large;"" style=""font-size: large"">®</span></span></span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""> Star Wars</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""><span data-mce-style=""font-size: small;"" style=""font-size: small""><span class=""copys"">™®</span></span>  figure.</span></div></div>",publish,,0,2020-04-05 10:40:37,open,,,,no,no,0,70,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2021/04/DSC03761-Copy.jpg,,https://grailcavern.com/product/admiral-wullf-yularen/,6,simple,outofstock,"Minifigures,Star Wars",,
36,Admiral Natasi Daala,admiral-natasi-daala,,597,"<p>Natasi Daala was a Human female who became the first woman to reach the rank of admiral in the Imperial Navy, a founder of the Imperial Remnant, and later was named Chief of State of the Galactic Federation of Free Alliances. Born on Irmenu but raised on Botajef, Daala enlisted in the Imperial Navy on Carida, but was discriminated against due to her gender. However, she achieved success thanks to Moff Wilhuff Tarkin, who discovered her after she defeated many skilled Imperial opponents in simulated battles, using an alias to hide her true identity. Tarkin took her under his wing, and as he rose in the ranks, so did she. She became his lover and was eventually promoted to admiral by him. Shortly thereafter, she was sent to oversee the top-secret Imperial research facility known as the Maw Installation. There, some of the best scientists in the galaxy worked on new concepts, designing superweapons for the Empire. She resided there with four Imperial I-class Star Destroyers for eleven years, unaware of what was happening in the galaxy....<br data-mce-bogus=""1""></p>","<p data-mce-style=""text-align: left;""><span data-mce-style=""color: #000000; font-family: Arial; font-size: 18.6667px; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 18.6667px;text-align: -webkit-center""><b><span data-mce-style=""font-size: 300%;"" style=""font-size: 56.0001px"">Admiral Natasi Daala</span></b></span></p><p data-mce-style=""text-align: left;""><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center"">Custom Star Wars</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""><span data-mce-style=""font-size: small;"" style=""font-size: small""><span class=""copys"" data-mce-style=""box-sizing: inherit; -webkit-font-smoothing: antialiased; word-break: break-word; overflow-wrap: break-word;"">™®</span></span>  figure</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""> –</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 18.6667px; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 18.6667px;text-align: -webkit-center""><span data-mce-style=""font-size: 14pt;"" style=""font-size: 14pt""> with original </span></span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center"">LEGO</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 14pt; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 14pt;text-align: -webkit-center""><span data-mce-style=""font-family: Arial; font-size: small;"" style=""font-size: small""><span data-mce-style=""font-size: large;"" style=""font-size: large"">® parts</span></span></span></p><p data-mce-style=""text-align: left;""><span data-mce-style=""color: #000000; font-family: Arial; font-size: 18.6667px; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 18.6667px;text-align: -webkit-center""><span data-mce-style=""font-size: 18.6667px;"" style=""font-size: 18.6667px"">Made from 100% authentic Lego parts. <span data-mce-style=""color: #ff0010;"">Using custom </span></span></span><span data-mce-style=""font-family: Arial; text-align: -webkit-center; color: #ff0010; font-size: 18.6667px;"" style=""font-family: Arial;text-align: -webkit-center;font-size: 18.6667px"">PAD</span><span data-mce-style=""color: #000000; font-family: Arial; font-size: 18.6667px; text-align: -webkit-center;"" style=""font-family: Arial;font-size: 18.6667px;text-align: -webkit-center""><span data-mce-style=""color: #ff0010;""> printing</span>. Designed with passion, care and precision.</span></p>",publish,,0,2020-04-05 11:07:31,open,,,,no,no,0,40,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,https://grailcavern.com/wp-content/uploads/2021/04/DSC03763-Copy.jpg,,https://grailcavern.com/product/admiral-natasi-daala/,2,simple,outofstock,"Minifigures,Pad printed,Star Wars",,
